[2025-07-12 22:42:16,170]14root - INFO - Initiate the data ingestion
[2025-07-12 22:43:06,604]74root - INFO - performed train test split on dataframe
[2025-07-12 22:43:06,604]75root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-12 22:43:06,606]80root - INFO - Exporting train and test file path.
[2025-07-12 22:43:07,645]85root - INFO - Exported train and test file path.
[2025-07-12 22:43:07,923]16root - INFO - Data Initiation Completed
[2025-07-12 22:43:07,930]21root - INFO - Initiate the data Validation
[2025-07-12 22:43:08,348]34root - INFO - Required number of columns : 2
[2025-07-12 22:43:08,348]35root - INFO - Dataframe has columns: 50
[2025-07-12 22:43:08,348]34root - INFO - Required number of columns : 2
[2025-07-12 22:43:08,348]35root - INFO - Dataframe has columns: 50
[2025-07-12 22:43:13,559]23root - INFO - data Validation Completed
